IATA | Airport Name | Location Served
AEM | Amgu Airport | Amgu,Primorsky Krai, Russia
AEO | Aioun el Atrouss Airport | Aioun el Atrouss,Mauritania
AEP | Jorge Newbery Airpark | Buenos Aires, Argentina
AEQ | Ar Horqin Airport | Ar Horqin Banner, China
AER | Sochi International Airport | Sochi,Krasnodar Krai, Russia
AES | Ålesund Airport, Vigra | Ålesund, Norway
AET | Allakaket Airport(FAA: 6A8) | Allakaket, Alaska, United States
AEU | Abu Musa Airport[1] | Abu Musa Island, Iran
AEX | Alexandria International Airport | Alexandria, Louisiana, United States
AEY | Akureyri Airport | Akureyri, Iceland
AFA | San Rafael Airport | San Rafael, Mendoza, Argentina
AFD | Port Alfred Airport | Port Alfred, South Africa
AFF | United States Air Force Academy Airfield | Colorado Springs, Colorado, United States
AFI | Amalfi Airport | Amalfi, Colombia
AFK | Kondavattavan Tank Seaplane Base[1] | Ampara, Sri Lanka
AFL | Alta Floresta Airport | Alta Floresta,Mato Grosso, Brazil
AFN | Jaffrey Airport–Silver Ranch | Jaffrey, New Hampshire, United States
AFO | Afton Municipal Airport | Afton, Wyoming, United States
AFR | Afore Airstrip | Afore, Papua New Guinea
AFS | Zarafshan Airport | Zarafshan, Uzbekistan
AFT | Afutara Airport | Afutara,Malaita, Solomon Islands
AFW | Fort Worth Alliance Airport | Fort Worth, Texas, United States
AFY | Afyon Airport | Afyon, Turkey
AFZ | Sabzevar Airport[1] | Sabzevar, Iran
AGA | Agadir–Al Massira Airport | Agadir, Morocco
AGB | Augsburg Airport | Augsburg,Bavaria, Germany
AGC | Allegheny County Airport | Pittsburgh,Pennsylvania, United States
AGD | Anggi Airport | Anggi, Indonesia
AGE | Wangerooge Airfield | Wangerooge,Lower Saxony, Germany
AGF | Agen La Garenne Airport | Agen,Aquitaine, France
AGG | Angoram Airport | Angoram, Papua New Guinea
AGH | Ängelholm–Helsingborg Airport(former ICAO: ESDB) | Ängelholm, Sweden
AGI | Wageningen Airstrip | Wageningen, Suriname
AGJ | Aguni Airport | Aguni, Okinawa, Japan
AGK | Kagua Airport | Kagua, Papua New Guinea
AGL | Wanigela Airport | Wanigela, Papua New Guinea
AGN | Angoon Seaplane Base | Angoon, Alaska, United States
AGO | Magnolia Municipal Airport | Magnolia, Arkansas, United States
AGP | Málaga Airport | Málaga,Andalusia, Spain
AGQ | Agrinion Airport | Agrinion, Greece
AGR | Agra Airport | Agra,Uttar Pradesh, India
AGS | Augusta Regional Airportat Bush Field | Augusta, Georgia, United States
AGT | Guaraní International Airport | Ciudad del Este, Paraguay
AGU | Lic. Jesús Terán Peredo International Airport | Aguascalientes, Aguascalientes, Mexico
AGV | Oswaldo Guevara Mujica Airport | Acarigua, Venezuela
AGW | Agnew Airport | Agnew, Queensland, Australia
AGX | Agatti Aerodrome | Agatti Island,Lakshadweep, India
AGZ | Aggeneys Airport | Aggeneys, South Africa
AHB | Abha Regional Airport | Abha, Saudi Arabia
AHC | Amedee Army Airfield | Herlong, California, United States
AHD | Ardmore Downtown Executive Airport(FAA: 1F0) | Ardmore, Oklahoma, United States
AHE | Ahe Airport | Ahe,Tuamotus, French Polynesia
AHF | Arapahoe Municipal Airport(FAA: 37V) | Arapahoe, Nebraska, United States
AHH | Amery Municipal Airport | Amery, Wisconsin, United States
AHI | Amahai Airport | Amahai, Indonesia
AHJ | Hongyuan Airport | Hongyuan,Sichuan, China
AHL | Aishalton Airport | Aishalton, Guyana
AHM | Ashland Municipal Airport[1](FAA: S03) | Ashland, Oregon, United States
AHN | Athens Ben Epps Airport | Athens, Georgia, United States
AHO | Alghero-Fertilia Airport | Alghero,Sardinia, Italy
AHS | Ahuas Airport | Ahuas, Honduras
AHU | Cherif Al Idrissi Airport | Al Hoceima, Morocco
AHW | Saih Rawl Airport[1] | Saih Rawl, Oman
AHY | Ambatolahy Airport | Ambatolahy, Madagascar
AHZ | Alpe d'Huez Airport | Alpe d'Huez,Rhône-Alpes, France
AIA | Alliance Municipal Airport | Alliance, Nebraska, United States
AIC | Ailinglaplap Airok Airport | Airok,Ailinglaplap Atoll, Marshall Islands
AID | Anderson Municipal Airport(Darlington Field) | Anderson, Indiana, United States
AIE | Aiome Airport | Aiome, Papua New Guinea
AIF | Assis Airport(former ICAO: SBAS) | Assis,São Paulo, Brazil
AIG | Yalinga Airport | Yalinga, Central African Republic
AIH | Aiambak Airport | Aiambak, Papua New Guinea
AII | Ali-Sabieh Airport | Ali Sabieh, Djibouti
AIK | Aiken Municipal Airport | Aiken, South Carolina, United States
AIL | Ailigandí Airport | Ailigandí, Panama
AIM | Ailuk Airport | Ailuk Atoll, Marshall Islands
AIN | Wainwright Airport(FAA: AWI) | Wainwright, Alaska, United States
AIO | Atlantic Municipal Airport | Atlantic, Iowa, United States
AIP | Adampur Airport | Jalandhar,Punjab, India
AIR | Aripuanã Airport | Aripuanã,Mato Grosso, Brazil
AIS | Arorae Island Airport | Arorae Island, Kiribati
AIT | Aitutaki Airport | Aitutaki, Cook Islands
AIU | Enua Airport | Atiu Island, Cook Islands
AIV | George Downer Airport | Aliceville, Alabama, United States
AIW | Ai-Ais Airport | Ai-Ais, Namibia
AIY | Araçuai Airport | Araçuai,Minas Gerais, Brazil
AIZ | Lee C. Fine Memorial Airport | Lake Ozark, Missouri, United States
AJA | Ajaccio Napoleon Bonaparte Airport | Ajaccio,Corsica, France
AJF | Al-Jawf Domestic Airport | Sakakah,Al Jawf, Saudi Arabia
AJI | Ağrı Airport | Ağrı, Turkey
AJJ | Akjoujt Airport | Akjoujt,Mauritania
AJK | Arak Airport[1] | Arak, Iran
AJL | Lengpui Airport | Aizawl,Mizoram, India
AJN | Ouani Airport | Anjouan, Comoros
AJR | Arvidsjaur Airport | Arvidsjaur, Sweden
AJS | Punta Abreojos Airstrip | Punta Abreojos,Baja California Sur, Mexico
AJU | Santa Maria Airport | Aracaju,Sergipe, Brazil
AJY | Mano Dayak International Airport | Agadez, Niger
AKA | Ankang Wulipu Airport | Ankang,Shaanxi, China
AKB | Atka Airport(FAA: AKA) | Atka, Alaska, United States
AKC | Akron Fulton International Airport(FAA: AKR) | Akron, Ohio, United States
AKD | Akola Airport | Akola,Maharashtra, India
AKE | Akieni Airport | Akiéni, Gabon
AKF | Kufra Airport | Kufra, Libya
AKG | Anguganak Airport | Anguganak,Papua New Guinea
AKH | Prince Sultan Air Base | Al-Kharj, Saudi Arabia
AKI | Akiak Airport | Akiak, Alaska, United States
AKJ | Asahikawa Airport | Asahikawa, Hokkaido, Japan
AKK | Akhiok Airport | Akhiok, Alaska, United States
AKL | Auckland Airport | Auckland, New Zealand
AKM | Zakouma Airport | Zakouma National Park, Chad
AKN | King Salmon Airport | King Salmon, Alaska, United States
AKO | Colorado Plains Regional Airport | Akron, Colorado, United States
AKP | Anaktuvuk Pass Airport | Anaktuvuk Pass, Alaska, United States
AKQ | Gunung Batin Airport | Astraksetra,Indonesia
AKR | Akure Airport | Akure, Nigeria
AKS | Auki Gwaunaru'u Airport | Auki,Malaita, Solomon Islands
AKT | RAF Akrotiri | Akrotiri, United Kingdom
AKU | Aksu Airport | Aksu, Xinjiang, China
AKV | Akulivik Airport | Akulivik,Quebec, Canada
AKW | Aghajari Airport[1] | Aghajari, Iran
AKX | Aktobe Airport | Aktobe, Kazakhstan
AKY | Sittwe Airport | Sittwe, Myanmar
ALA | Almaty International Airport | Almaty, Kazakhstan
ALB | Albany International Airport | Albany, New York, United States
ALC | Alicante–Elche Airport | Alicante,Valencia, Spain
ALD | Alerta Airport | Alerta, Peru
ALE | Alpine–Casparis Municipal Airport(FAA: E38) | Alpine, Texas, United States
ALF | Alta Airport | Alta, Norway
ALG | Houari Boumediene Airport | Algiers, Algeria
ALH | Albany Airport | Albany, Western Australia, Australia
ALI | Alice International Airport | Alice, Texas, United States
ALJ | Alexander Bay Airport | Alexander Bay, South Africa
ALK | Asella Airport | Asella, Ethiopia
ALL | Albenga Airport | Albenga,Liguria, Italy
ALM | Alamogordo–White Sands Regional Airport | Alamogordo, New Mexico, United States
ALN | St. Louis Regional Airport | Alton, Illinois, United States
ALO | Waterloo Regional Airport | Waterloo, Iowa, United States
ALP | Aleppo International Airport | Aleppo, Syria
ALQ | Alegrete Airport | Alegrete,Rio Grande do Sul, Brazil
ALR | Alexandra Aerodrome | Alexandra, New Zealand
ALS | San Luis Valley Regional Airport | Alamosa, Colorado, United States
ALT | Alenquer Airport | Alenquer, Pará, Brazil
ALU | Alula Airport | Alula, Somalia
ALW | Walla Walla Regional Airport | Walla Walla, Washington, United States
ALX | Thomas C. Russell Field | Alexander City, Alabama, United States
ALY | El Nouzha Airport | Alexandria, Egypt
ALZ | Alitak Seaplane Base | Lazy Bay,Alaska, United States
AMA | Rick Husband Amarillo International Airport | Amarillo, Texas, United States
AMB | Ambilobe Airport | Ambilobe, Madagascar
AMC | Am Timan Airport | Am Timan, Chad
AMD | Sardar Vallabhbhai Patel International Airport | Ahmedabad,Gujarat, India
AME | Alto Molocue Airport | Alto Molocue,Mozambique
AMF | Ama Airport | Ama,Papua New Guinea
AMG | Amboin Airport | Amboin,Papua New Guinea
AMH | Arba Minch Airport | Arba Minch, Ethiopia
AMI | Ambala Airport | Ambala,Haryana,India
AMJ | Almenara Airport | Almenara, Minas Gerais, Brazil
AMK | Animas Air Park(FAA: 00C) | Durango, Colorado, United States
AML | Puerto Armuelles Airport | Puerto Armuelles, Panama
AMM | Queen Alia International Airport | Amman, Jordan
AMN | Gratiot Community Airport | Alma, Michigan, United States
AMO | Mao Airport | Mao, Chad
AMP | Ampanihy Airport | Ampanihy, Madagascar
AMQ | Pattimura Airport | Ambon, Indonesia
AMS | Amsterdam Airport Schiphol | Amsterdam, Netherlands
AMT | Amata Airport | Amata, South Australia, Australia
AMU | Amanab Airport | Amanab,Papua New Guinea
AMV | Amderma Airport | Amderma,Nenets Autonomous Okrug, Russia
AMW | Ames Municipal Airport | Ames, Iowa, United States
AMX | Ammaroo Airport | Ammaroo,Northern Territory, Australia
AMY | Ambatomainty Airport | Ambatomainty, Madagascar
AMZ | Ardmore Airport | Ardmore, New Zealand
ANA | Angama Mara Airport | Angama Mara,Narok County, Kenya
ANB | Anniston Regional Airport | Anniston, Alabama, United States
ANC | Ted Stevens Anchorage International Airport | Anchorage, Alaska, United States
AND | Anderson Regional Airport | Anderson, South Carolina, United States
ANE | Angers – Loire Airport | Angers,Pays de la Loire, France
ANF | Cerro Moreno International Airport | Antofagasta, Chile
ANG | Angoulême – Cognac International Airport | Angoulême,Poitou-Charentes, France
ANI | Aniak Airport | Aniak, Alaska, United States
ANJ | Zanaga Airport | Zanaga, Republic of the Congo
ANK | Etimesgut Air Base | Ankara, Turkey
ANL | Andulo Airport | Andulo, Angola
ANM | Antsirabato Airport | Antalaha, Madagascar
ANN | Annette Island Airport | Annette Island,Alaska, United States
ANO | Angoche Airport | Angoche, Mozambique
ANP | Lee Airport | Annapolis, Maryland, United States
ANQ | Tri-State Steuben County Airport | Angola, Indiana, United States
ANR | Antwerp International Airport | Antwerp, Belgium
ANS | Andahuaylas Airport | Andahuaylas, Peru
ANU | V. C. Bird International Airport | Antigua,Antigua and Barbuda
ANV | Anvik Airport | Anvik, Alaska, United States
ANW | Ainsworth Regional Airport | Ainsworth, Nebraska, United States
ANX | Andøya Airport, Andenes | Andenes, Norway
ANY | Anthony Municipal Airport | Anthony, Kansas, United States
ANZ | Angus Downs Airport | Angus Downs,Northern Territory, Australia
AOA | Aroa Airport | Aroa,Papua New Guinea
AOB | Annanberg Airport | Annanberg,Papua New Guinea
AOC | Leipzig–Altenburg Airport | Altenburg,Thuringia, Germany
AOD | Abou-Deïa Airport | Abou-Deïa, Chad
AOE | Anadolu Airport | Eskişehir, Turkey
AOG | Anshan Teng'ao Airport | Anshan,Liaoning, China
AOH | Lima Allen County Airport | Lima, Ohio, United States
AOI | Ancona Falconara Airport | Ancona,Marche, Italy
AOJ | Aomori Airport | Aomori,Honshu, Japan
AOK | Karpathos Island National Airport | Karpathos, Greece
AOL | Paso de los Libres Airport | Paso de los Libres,Corrientes, Argentina
AOM | Adam Airport[1] | Adam, Oman
AON | Arona Airport | Arona,Papua New Guinea
AOO | Altoona–Blair County Airport | Altoona, Pennsylvania, United States
AOP | Alférez FAP Alfredo Vladimir Sara Bauer Airport | Andoas, Peru
AOR | Sultan Abdul Halim Airport | Alor Setar,Kedah, Malaysia
AOS | Amook Bay Seaplane Base(FAA: AK81) | Amook Bay,Alaska, United States
AOT | Aosta Valley Airport | Aosta,Aosta Valley, Italy
AOU | Attapeu International Airport | Attapeu, Laos
APA | Centennial Airport | Denver,Colorado, United States
APB | Apolo Airport | Apolo, Bolivia
APC | Napa County Airport | Napa, California, United States
APF | Naples Municipal Airport | Naples, Florida, United States
APG | Phillips Army Airfield | Aberdeen Proving Ground,Maryland, United States
APH | A.P. Hill Army Airfield | Fort Walker,Virginia, United States
API | Captain Luis F. Gómez Niño Air Base | Apiay,Colombia
APJ | Ngari Burang Airport | Burang County,Tibet Autonomous Region, China
APK | Apataki Airport | Apataki,Tuamotus, French Polynesia
APL | Nampula Airport | Nampula, Mozambique
APN | Alpena County Regional Airport | Alpena, Michigan, United States
APO | Antonio Roldán Betancourt Airport | Apartadó, Colombia
APP | Asapa Airport | Asapa,Papua New Guinea
APQ | Arapiraca Airport | Arapiraca,Alagoas, Brazil
APR | April River Airport | April River,Papua New Guinea
APS | Anápolis Airport | Anápolis,Goiás, Brazil
APT | Marion County Airport(Brown Field) | Jasper, Tennessee, United States
APU | Apucarana Airport | Apucarana,Paraná, Brazil
APV | Apple Valley Airport | Apple Valley, California, United States
APW | Faleolo International Airport | Apia,Upolu Island, Samoa
APX | Arapongas Airport | Arapongas,Paraná, Brazil
APY | Alto Parnaíba Airport | Alto Parnaíba,Maranhão, Brazil
APZ | Zapala Airport | Zapala,Neuquén, Argentina
AQA | Araraquara Airport | Araraquara,São Paulo, Brazil
AQB | Quiché Airport | Quiché, Guatemala
AQG | Anqing Tianzhushan Airport | Anqing,Anhui, China
AQI | Al Qaisumah/Hafr Al Batin Airport | Qaisumah/Hafar al-Batin, Saudi Arabia
AQJ | King Hussein International Airport | Aqaba, Jordan
AQM | Ariquemes Airport | Ariquemes,Rondônia, Brazil
AQP | Rodríguez Ballón International Airport | Arequipa, Peru
AQS | Saqani Airport | Saqani, Fiji
AQY | Girdwood Airport[1] | Girdwood,Alaska, United States
ARA | Acadiana Regional Airport | New Iberia, Louisiana, United States
ARB | Ann Arbor Municipal Airport | Ann Arbor, Michigan, United States
ARC | Arctic Village Airport | Arctic Village, Alaska, United States
ARD | Alor Island Airport | Alor Island, Indonesia
ARE | Antonio (Nery) Juarbe Pol Airport(FAA: ABO) | Arecibo, Puerto Rico, United States
ARF | Acaricuara Airport | Acaricuara, Colombia
ARG | Walnut Ridge Regional Airport | Walnut Ridge, Arkansas, United States
ARH | Talagi Airport | Arkhangelsk,Arkhangelsk Oblast, Russia
ARI | Chacalluta International Airport | Arica, Chile
ARJ | Arso Airport | Arso,Indonesia
ARK | Arusha Airport | Arusha, Tanzania
ARL | Arly Airport | Arly,Burkina Faso
ARM | Armidale Airport | Armidale, New South Wales, Australia
ARN | Stockholm Arlanda Airport | Stockholm, Sweden
ARO | Arboletes Airport | Arboletes, Colombia
ARP | Aragip Airport | Aragip,Papua New Guinea
ARQ | El Troncal Airport | Arauquita, Colombia
ARR | Alto Río Senguer Airport | Alto Río Senguer,Chubut, Argentina
ARS | Aragarças Airport | Aragarças,Goiás, Brazil
ART | Watertown International Airport | Watertown,New York, United States
ARU | Araçatuba Airport | Araçatuba,São Paulo, Brazil
ARV | Lakeland Airport(Noble F. Lee Memorial Field) | Minocqua/Woodruff, Wisconsin, United States
ARW | Arad International Airport | Arad, Romania
ARX | Aracati Airport | Aracati,Canoa Quebrada, Brazil
ARY | Ararat Airport | Ararat, Victoria, Australia
ARZ | N'zeto Airport | N'zeto, Angola
ASA | Assab International Airport | Assab, Eritrea
ASB | Ashgabat International Airport | Ashgabat, Turkmenistan
ASC | Ascención de Guarayos Airport | Ascención de Guarayos, Bolivia
ASD | Andros Town International Airport | Andros Town,Andros Island,Bahamas
ASE | Aspen–Pitkin County Airport(Sardy Field) | Aspen, Colorado, United States
ASF | Narimanovo Airport | Astrakhan,Astrakhan Oblast, Russia
ASG | Ashburton Aerodrome | Ashburton, New Zealand
ASH | Nashua Airport(Boire Field) | Nashua, New Hampshire, United States
ASI | RAF Ascension Island(Wideawake Field) | Ascension Island,British Overseas TerritoryofSaint Helena, Ascension and Tristan da Cunha
ASJ | Amami Airport | Amami,Satsunan Islands, Japan
ASK | Yamoussoukro Airport | Yamoussoukro, Côte d'Ivoire
ASL | Harrison County Airport | Marshall, Texas, United States
ASM | Asmara International Airport | Asmara, Eritrea
ASN | Talladega Municipal Airport | Talladega, Alabama, United States
ASO | Asosa Airport | Asosa, Ethiopia
ASP | Alice Springs Airport | Alice Springs, Northern Territory, Australia
ASQ | Austin Airport(FAA: 9U3) | Austin, Nevada, United States
ASR | Erkilet International Airport | Kayseri, Turkey
AST | Astoria Regional Airport | Astoria, Oregon, United States
ASU | Silvio Pettirossi International Airport | Asunción, Paraguay
ASV | Amboseli Airport | Amboseli, Kenya
ASW | Aswan International Airport | Aswan, Egypt
ASX | John F. Kennedy Memorial Airport | Ashland, Wisconsin, United States
ASY | Ashley Municipal Airport | Ashley, North Dakota, United States
ASZ | Asirim Airport | Asirim,Papua New Guinea
ATA | Comandante FAP Germán Arias Graziani Airport | Huaraz, Peru
ATB | Atbara Airport | Atbara, Sudan
ATC | Arthur's Town Airport | Arthur's Town,Cat Island,Bahamas
ATD | Uru Harbour Airport | Atoifi,Malaita, Solomon Islands
ATE | Antlers Municipal Airport(FAA: 80F) | Antlers, Oklahoma, United States
ATF | Chachoan Airport | Ambato, Ecuador
ATG | PAF Base Minhas | Attock, Pakistan
ATH | Athens International Airport(Eleftherios Venizelos Airport) | Athens, Greece
ATI | Artigas International Airport | Artigas, Uruguay
ATJ | Antsirabe Airport | Antsirabe, Madagascar
ATK | Atqasuk Edward Burnell Sr. Memorial Airport | Atqasuk, Alaska, United States
ATL | Hartsfield–Jackson Atlanta International Airport | Atlanta, Georgia, United States
ATM | Altamira Airport | Altamira, Pará, Brazil
ATN | Namatanai Airport | Namatanai, Papua New Guinea
ATO | Ohio University Airport(Snyder Field) (FAA: UNI) | Athens/Albany, Ohio, United States
ATP | Aitape Airstrip | Aitape, Papua New Guinea
ATQ | Sri Guru Ram Dass Jee International Airport | Amritsar,Punjab, India
ATR | Atar International Airport | Atar, Mauritania
ATS | Artesia Municipal Airport | Artesia, New Mexico, United States
ATT | Atmautluak Airport(FAA: 4A2) | Atmautluak, Alaska, United States
ATU | Casco Cove Coast Guard Station | Attu Island,Alaska, United States
ATV | Ati Airport | Ati, Chad
ATW | Appleton International Airport | Appleton, Wisconsin, United States
ATX | Atbasar Airport | Atbasar, Kazakhstan
ATY | Watertown Regional Airport | Watertown, South Dakota, United States
ATZ | Assiut Airport | Assiut, Egypt
AUA | Queen Beatrix International Airport | Aruba,Kingdom of the Netherlands
AUC | Santiago Pérez Quiroz Airport | Arauca, Colombia
AUD | Augustus Downs Airport | Augustus Downs Station, Queensland, Australia
AUE | Abu Rudeis Airport | Abou Redis, Egypt
AUF | Auxerre – Branches Aerodrome | Auxerre,Burgundy, France
AUG | Augusta State Airport | Augusta, Maine, United States
AUH | Abu Dhabi International Airport | Abu Dhabi, United Arab Emirates
AUI | Aua Island Airport | Aua Island, Papua New Guinea
AUJ | Ambunti Airport | Ambunti, Papua New Guinea
AUK | Alakanuk Airport | Alakanuk, Alaska, United States
AUL | Aur Airport | Aur Atoll, Marshall Islands
AUM | Austin Municipal Airport | Austin, Minnesota, United States
AUN | Auburn Municipal Airport | Auburn, California, United States
AUO | Auburn University Regional Airport | Auburn, Alabama, United States
AUP | Agaun Airport | Agaun,Papua New Guinea
AUQ | Atuona Airport | Atuona,Marquesas Islands, French Polynesia
AUR | Aurillac – Tronquières Airport | Aurillac,Auvergne, France
AUS | Austin–Bergstrom International Airport | Austin, Texas, United States
AUT | Atauro Airport | Atauro Island, East Timor
AUU | Aurukun Airport | Aurukun, Queensland, Australia
AUV | Aumo Airport | Aumo,Papua New Guinea
AUW | Wausau Downtown Airport | Wausau, Wisconsin, United States
AUX | Araguaína Airport | Araguaína,Tocantins, Brazil
AUY | Anatom Airport | Anatom Island,Tafea, Vanuatu
AUZ | Aurora Municipal Airport(FAA: ARR) | Aurora, Illinois, United States
AVA | Anshun Huangguoshu Airport | Anshun,Guizhou, China
AVB | Aviano Air Base | Aviano,Pordenone, Italy
AVG | Auvergne Airport | Auvergne Station, Northern Territory, Australia
AVI | Máximo Gómez Airport | Ciego de Ávila, Cuba
AVK | Arvaikheer Airport | Arvaikheer, Mongolia
AVL | Asheville Regional Airport | Asheville, North Carolina, United States
AVN | Avignon – Provence Airport | Avignon,Provence-Alpes-Côte d'Azur, France
AVO | Avon Park Executive Airport | Avon Park, Florida, United States
AVP | Wilkes-Barre/Scranton International Airport | Wilkes-Barre/Scranton, Pennsylvania, United States
AVR | Amravati Airport | Amravati,Maharashtra, India
AVU | Avu Avu Airport | Avu Avu,Guadalcanal, Solomon Islands
AVV | Avalon Airport | Avalon, Victoria, Australia
AVW | Marana Regional Airport(FAA: AVQ) | Tucson, Arizona, United States
AVX | Catalina Airport | Avalon, California, United States
AWA | Awasa Airport | Awasa, Ethiopia
AWB | Awaba Airport | Awaba,Papua New Guinea
